Date,Energy_Consumption_Wh,Hour,Is_Anomaly
2016-01-11 17:00:00,60,17,False
2016-01-11 17:10:00,60,17,False
2016-01-11 17:20:00,50,17,False
2016-01-11 17:30:00,50,17,False
2016-01-11 17:40:00,60,17,False
2016-01-11 17:50:00,50,17,False
2016-01-11 18:00:00,60,18,False
2016-01-11 18:10:00,60,18,False
2016-01-11 18:20:00,60,18,False
2016-01-11 18:30:00,70,18,False
2016-01-11 18:40:00,230,18,True
2016-01-11 18:50:00,580,18,True
2016-01-11 19:00:00,430,19,True
2016-01-11 19:10:00,250,19,True
2016-01-11 19:20:00,100,19,False
2016-01-11 19:30:00,100,19,False
2016-01-11 19:40:00,90,19,False
2016-01-11 19:50:00,70,19,False
2016-01-11 20:00:00,80,20,False
2016-01-11 20:10:00,140,20,False
2016-01-11 20:20:00,120,20,False
2016-01-11 20:30:00,190,20,True
2016-01-11 20:40:00,110,20,False
2016-01-11 20:50:00,110,20,False
2016-01-11 21:00:00,110,21,False
2016-01-11 21:10:00,110,21,False
2016-01-11 21:20:00,100,21,False
2016-01-11 21:30:00,100,21,False
2016-01-11 21:40:00,100,21,False
2016-01-11 21:50:00,100,21,False
2016-01-11 22:00:00,110,22,False
2016-01-11 22:10:00,400,22,True
2016-01-11 22:20:00,400,22,True
2016-01-11 22:30:00,390,22,True
2016-01-11 22:40:00,240,22,True
2016-01-11 22:50:00,60,22,False
2016-01-11 23:00:00,60,23,False
2016-01-11 23:10:00,60,23,False
2016-01-11 23:20:00,50,23,False
2016-01-11 23:30:00,70,23,False
2016-01-11 23:40:00,60,23,False
2016-01-11 23:50:00,40,23,False
2016-01-12 00:00:00,40,0,False
2016-01-12 00:10:00,30,0,False
2016-01-12 00:20:00,40,0,False
2016-01-12 00:30:00,50,0,False
2016-01-12 00:40:00,310,0,True
2016-01-12 00:50:00,380,0,True
2016-01-12 01:00:00,380,1,True
2016-01-12 01:10:00,370,1,True
2016-01-12 01:20:00,120,1,False
2016-01-12 01:30:00,50,1,False
2016-01-12 01:40:00,40,1,False
2016-01-12 01:50:00,50,1,False
2016-01-12 02:00:00,40,2,False
2016-01-12 02:10:00,50,2,False
2016-01-12 02:20:00,50,2,False
2016-01-12 02:30:00,50,2,False
2016-01-12 02:40:00,40,2,False
2016-01-12 02:50:00,40,2,False
2016-01-12 03:00:00,30,3,False
2016-01-12 03:10:00,20,3,False
2016-01-12 03:20:00,20,3,False
2016-01-12 03:30:00,40,3,False
2016-01-12 03:40:00,50,3,False
2016-01-12 03:50:00,50,3,False
2016-01-12 04:00:00,40,4,False
2016-01-12 04:10:00,50,4,False
2016-01-12 04:20:00,40,4,False
2016-01-12 04:30:00,40,4,False
2016-01-12 04:40:00,40,4,False
2016-01-12 04:50:00,60,4,False
2016-01-12 05:00:00,50,5,False
2016-01-12 05:10:00,50,5,False
2016-01-12 05:20:00,40,5,False
2016-01-12 05:30:00,40,5,False
2016-01-12 05:40:00,40,5,False
2016-01-12 05:50:00,40,5,False
2016-01-12 06:00:00,50,6,False
2016-01-12 06:10:00,70,6,False
2016-01-12 06:20:00,40,6,False
2016-01-12 06:30:00,30,6,False
2016-01-12 06:40:00,20,6,False
2016-01-12 06:50:00,30,6,False
2016-01-12 07:00:00,40,7,False
2016-01-12 07:10:00,50,7,False
2016-01-12 07:20:00,60,7,False
2016-01-12 07:30:00,60,7,False
2016-01-12 07:40:00,70,7,False
2016-01-12 07:50:00,60,7,False
2016-01-12 08:00:00,140,8,False
2016-01-12 08:10:00,110,8,False
2016-01-12 08:20:00,90,8,False
2016-01-12 08:30:00,60,8,False
2016-01-12 08:40:00,60,8,False
2016-01-12 08:50:00,60,8,False
2016-01-12 09:00:00,50,9,False
2016-01-12 09:10:00,60,9,False
2016-01-12 09:20:00,50,9,False
2016-01-12 09:30:00,30,9,False
2016-01-12 09:40:00,40,9,False
2016-01-12 09:50:00,30,9,False
2016-01-12 10:00:00,260,10,True
2016-01-12 10:10:00,500,10,True
2016-01-12 10:20:00,450,10,True
2016-01-12 10:30:00,50,10,False
2016-01-12 10:40:00,60,10,False
2016-01-12 10:50:00,60,10,False
2016-01-12 11:00:00,50,11,False
2016-01-12 11:10:00,50,11,False
2016-01-12 11:20:00,50,11,False
2016-01-12 11:30:00,60,11,False
2016-01-12 11:40:00,60,11,False
2016-01-12 11:50:00,60,11,False
2016-01-12 12:00:00,60,12,False
2016-01-12 12:10:00,190,12,True
2016-01-12 12:20:00,220,12,True
2016-01-12 12:30:00,170,12,False
2016-01-12 12:40:00,390,12,True
2016-01-12 12:50:00,90,12,False
2016-01-12 13:00:00,60,13,False
2016-01-12 13:10:00,290,13,True
2016-01-12 13:20:00,130,13,False
2016-01-12 13:30:00,140,13,False
2016-01-12 13:40:00,240,13,True
2016-01-12 13:50:00,50,13,False
2016-01-12 14:00:00,60,14,False
2016-01-12 14:10:00,60,14,False
2016-01-12 14:20:00,60,14,False
2016-01-12 14:30:00,370,14,True
2016-01-12 14:40:00,200,14,True
2016-01-12 14:50:00,70,14,False
2016-01-12 15:00:00,50,15,False
2016-01-12 15:10:00,40,15,False
2016-01-12 15:20:00,40,15,False
2016-01-12 15:30:00,30,15,False
2016-01-12 15:40:00,30,15,False
2016-01-12 15:50:00,30,15,False
2016-01-12 16:00:00,30,16,False
2016-01-12 16:10:00,40,16,False
2016-01-12 16:20:00,50,16,False
2016-01-12 16:30:00,40,16,False
2016-01-12 16:40:00,40,16,False
2016-01-12 16:50:00,40,16,False
2016-01-12 17:00:00,60,17,False
2016-01-12 17:10:00,60,17,False
